Image_Index, Camera, Point_Index, X, Y
2, right, 51, 794.7310, 1295.7592
2, right, 52, 778.5093, 1226.8435
2, right, 53, 762.6716, 1158.4443
2, right, 54, 746.9222, 1090.1744
3, left, 1, 1842.5687, 1274.2119
3, left, 2, 1842.9750, 1217.4265
3, left, 3, 1843.2201, 1160.9324
3, left, 4, 1843.7986, 1104.8452
3, left, 5, 1844.1104, 1048.9141
3, left, 6, 1844.4233, 993.5469
3, left, 7, 1785.8353, 1273.2010
3, left, 8, 1786.3591, 1216.4060
3, left, 9, 1786.9613, 1160.0286
3, left, 10, 1787.5729, 1103.9272
3, left, 11, 1788.0382, 1048.1348
3, left, 12, 1788.6113, 992.6328
3, left, 13, 1729.0991, 1272.2456
3, left, 14, 1729.9403, 1215.4773
3, left, 15, 1730.6383, 1159.1760
3, left, 16, 1731.2875, 1102.9855
3, left, 17, 1732.0204, 1047.1924
3, left, 18, 1732.6641, 991.8838
3, left, 19, 1672.6564, 1271.3497
3, left, 20, 1673.4247, 1214.7269
3, left, 21, 1674.3036, 1158.1771
3, left, 22, 1675.1388, 1102.1473
3, left, 23, 1676.0151, 1046.3346
3, left, 24, 1676.8610, 990.9930
3, left, 25, 1616.0303, 1270.3313
3, left, 26, 1617.1040, 1213.8323
3, left, 27, 1618.0729, 1157.4044
3, left, 28, 1619.0681, 1101.3464
3, left, 29, 1620.0366, 1045.6897
3, left, 30, 1621.1007, 990.2072
3, left, 31, 1559.6787, 1269.4478
3, left, 32, 1560.7875, 1212.7747
3, left, 33, 1561.9130, 1156.4136
3, left, 34, 1562.9934, 1100.5370
3, left, 35, 1564.1254, 1044.8870
3, left, 36, 1565.3582, 989.6284
3, left, 37, 1503.1171, 1268.4119
3, left, 38, 1504.4451, 1211.8727
3, left, 39, 1505.8348, 1155.5667
3, left, 40, 1507.0714, 1099.6979
3, left, 41, 1508.4048, 1044.0743
3, left, 42, 1509.7783, 988.7793
3, left, 43, 1446.9784, 1267.5670
3, left, 44, 1448.2332, 1211.0175
3, left, 45, 1449.8102, 1154.9032
3, left, 46, 1451.2688, 1099.0162
3, left, 47, 1452.7849, 1043.2186
3, left, 48, 1454.1322, 988.1023
3, left, 49, 1390.7711, 1266.6099
3, left, 50, 1392.3065, 1210.1451
3, left, 51, 1393.9553, 1153.8933
3, left, 52, 1395.5614, 1098.1608
3, left, 53, 1397.1259, 1042.5878
3, left, 54, 1398.6976, 987.3577
3, right, 1, 682.0126, 1501.3903
3, right, 2, 664.4037, 1436.8065
3, right, 3, 644.0031, 1374.8400
3, right, 4, 623.7381, 1313.5531
3, right, 5, 604.1479, 1249.3201
3, right, 6, 584.0157, 1187.8958
3, right, 7, 643.0129, 1517.9071
3, right, 8, 623.6267, 1456.1628
3, right, 9, 603.3952, 1393.6467
3, right, 10, 584.2036, 1331.8160
3, right, 11, 564.4556, 1269.4861
3, right, 12, 545.3498, 1208.4668
3, right, 13, 603.0000, 1536.0000
3, right, 14, 583.0000, 1475.0000
3, right, 15, 564.0000, 1413.0000
3, right, 16, 544.7709, 1350.9236
3, right, 17, 525.1408, 1290.5520
3, right, 18, 505.7652, 1231.5009
3, right, 19, 563.0000, 1553.0000
3, right, 20, 544.0000, 1493.0000
3, right, 21, 525.2396, 1431.7275
3, right, 22, 506.5930, 1370.8698
3, right, 23, 487.0000, 1311.0000
3, right, 24, 468.4084, 1250.8064
3, right, 25, 525.4648, 1569.8698
